metric,n_draws,mean,median,p05,p25,p75,p95,min,max
retained_2024,1000,672.749,691.0,529.0,627.0,728.0,756.0,513.0,770.0
countries_2024,1000,82.746,81.5,71.0,76.0,89.0,96.04999999999995,68.0,100.0
china_india_share_2024,1000,0.408265135368965,0.39312706660368446,0.3445255474452555,0.3779713433818818,0.4461674128340795,0.4803218310914864,0.3338235294117647,0.5009487666034156
jaccard_vs_primary_q75_2024,1000,0.4898234177590024,0.49092498764810166,0.28424115137024825,0.4016098918112034,0.5698563324416567,0.7072415189632167,0.24893617021276596,0.8262032085561497
spearman_deficit_score_vs_primary_2024,1000,0.9597061553655389,0.9623748729526843,0.9366177586890683,0.9504902464338396,0.9706034144185739,0.9738131174571989,0.9291476559881272,0.9747258111668373
denominator_certain_2024,1000,186.698,188.0,105.0,150.0,218.0,275.04999999999995,94.0,298.0
denominator_uncertain_2024,1000,486.051,480.0,420.0,454.0,512.0,573.0,408.0,594.0
