event_n_events,event_n_matched_pairs,event_matched_gpm_estimate,event_matched_gpm_ci_low,event_matched_gpm_ci_high,specification,w_demand,w_hazard,w_urban_form
167,501,0.30003437524950105,0.08621329074016681,0.5138554597588353,equal_weight_refit_ols,0.3333333333333333,0.3333333333333333,0.3333333333333333
139,417,0.37846256594724226,0.17802026436792287,0.5789048675265617,demand_heavy_weight,0.7,0.15,0.15
120,360,0.09582408055555555,-0.15269014433281722,0.3443383054439283,hazard_heavy_weight,0.15,0.7,0.15
177,531,0.3777160338983051,0.1644678711856799,0.5909641966109302,urban_form_heavy_weight,0.15,0.15,0.7
118,354,0.2650800395480226,0.091208713721189,0.43895136537485624,dirichlet_jaccard_p05,0.8973014415927754,0.08125785506957055,0.021440703337653955
141,423,0.2601589290780142,0.12741948979360693,0.3928983683624214,dirichlet_jaccard_median,0.45902085533391807,0.4816381124707731,0.05934103219530883
167,501,0.33402417165668663,0.1308944792342884,0.5371538640790848,dirichlet_jaccard_p95,0.4142374410552286,0.24553402946376557,0.3402285294810058
