specification,model_family,x_columns,ridge_alpha,r2_in_sample,rmse,mae,retained_2024,countries_2024,china_india_share_2024,denominator_certain_2024,denominator_uncertain_2024,jaccard_vs_primary_q75_2024,overlap_with_primary_count_2024,spearman_deficit_score_vs_primary_2024,stratum,stratum_rows,stratum_r2
denominator_certain_only,denominator_certain_only,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km,0,0.30653101688755136,0.6708147631830993,0.5342014404884289,314,56,0.35668789808917195,314,0,0.20921544209215442,168,0.8969085082447577,denominator_certain_only,57330,0.30653101688755136
denominator_uncertain_only,denominator_uncertain_only,intercept|need_composite_z|population_density_proxy|nearest_airport_km|official_station_density_50km|coast_distance_km,0,0.361678740111003,0.8032930408165477,0.6723592742363792,411,62,0.43309002433090027,0,411,0.5411255411255411,375,0.9686388255215376,denominator_uncertain_only,56890,0.361678740111003
