label,estimate,ci_low,ci_high,n_clusters
Main matched GPM,0.5185561899224804,0.2011065024366073,0.8360058774083534,344
"Exclude top country
(Indonesia)",0.2005372590233546,-0.0488313294715366,0.4499058475182459,314
Exclude China and India,0.5007630781609196,0.1478914908725346,0.8536346654493046,290
"Leave-year minimum
(2022)",0.3987969622871047,0.0353425220330458,0.7622514025411635,274
