hazard_family,estimate,ci_low,ci_high,n_events,interval_method
Convective,1.8830764408602152,0.4704904409737653,3.295662440746665,31,event-date clustered t interval
Fog,-0.4043584404761906,-0.8329061224900467,0.0241892415376654,56,event-date clustered t interval
Low ceiling,0.9837558848484852,0.2313233152822709,1.7361884544146995,110,event-date clustered t interval
Low visibility,0.249020094488189,-0.0975976325011317,0.5956378214775098,127,event-date clustered t interval
Wind,0.1406666500000002,-1.0715773952934728,1.3529106952934733,20,event-date clustered t interval
