specification,family,outcome,estimate,ci_low,ci_high,p_value,n_rows,n_clusters,cluster_variable,interval_method,interpretation
main_event_date_cluster,main_gpm,paired_gpm_precip_diff_high_minus_control,0.5185561899224804,0.2011065024366073,0.8360058774083534,0.0014383373777593,1032,344,event_id,small-sample corrected cluster-robust t interval,Event-date clustering is the primary correction for three controls per event. Component and country clustering are higher-level dependence sensitivities.
main_component_cluster,main_gpm,paired_gpm_precip_diff_high_minus_control,0.5185561899224804,-0.0483644264468313,1.0854768062917923,0.0721430331051797,1032,52,event_component_id,small-sample corrected cluster-robust t interval,Event-date clustering is the primary correction for three controls per event. Component and country clustering are higher-level dependence sensitivities.
main_country_cluster,main_gpm,paired_gpm_precip_diff_high_minus_control,0.5185561899224804,-0.1580242088690375,1.1951365887139984,0.127020309604234,1032,26,event_country,small-sample corrected cluster-robust t interval,Event-date clustering is the primary correction for three controls per event. Component and country clustering are higher-level dependence sensitivities.
main_adjusted_component_cluster,adjusted_main_gpm,paired_gpm_precip_diff_high_minus_control,0.3957169388792969,0.0514228869133578,0.7400109908452359,0.0251246557045857,1032,52,event_component_id,"OLS adjustment for population density, nearest-airport distance and coast distance; small-sample corrected cluster-robust t interval","Adjusted contrast at zero imbalance in population density, nearest-airport distance and coast distance. Official-station-density adjustment is unavailable because the control field is blank in this export."
main_adjusted_country_cluster,adjusted_main_gpm,paired_gpm_precip_diff_high_minus_control,0.3957169388792969,-0.0327024794401198,0.8241363571987137,0.0687087858567026,1032,26,event_country,"OLS adjustment for population density, nearest-airport distance and coast distance; small-sample corrected cluster-robust t interval","Adjusted contrast at zero imbalance in population density, nearest-airport distance and coast distance. Official-station-density adjustment is unavailable because the control field is blank in this export."
placebo_event_date_cluster,event_minus_placebo,observed_minus_placebo_diff,0.5799866270676691,0.1515614457352944,1.0084118084000435,0.0081630888362342,665,261,match_id,small-sample corrected cluster-robust t interval,Pair-weighted placebo-eligible contrast; higher-level clustering is a dependence sensitivity.
placebo_component_cluster,event_minus_placebo,observed_minus_placebo_diff,0.5799866270676691,-0.200977804283298,1.3609510584186362,0.1416052079586275,665,45,event_component_id,small-sample corrected cluster-robust t interval,Pair-weighted placebo-eligible contrast; higher-level clustering is a dependence sensitivity.
placebo_country_cluster,event_minus_placebo,observed_minus_placebo_diff,0.5799866270676691,-0.3040019414577262,1.4639751955930644,0.1878721156588379,665,24,event_country,small-sample corrected cluster-robust t interval,Pair-weighted placebo-eligible contrast; higher-level clustering is a dependence sensitivity.
false_event_date_cluster,false_event,observed_minus_false_event_diff,0.0705130290237466,-0.4681178979862087,0.6091439560337021,0.7960274762703068,379,129,match_id,small-sample corrected cluster-robust t interval,Negative-control contrast; intervals crossing zero support the intended boundary.
false_component_cluster,false_event,observed_minus_false_event_diff,0.0705130290237466,-0.884545138016376,1.0255711960638694,0.8816173263436086,379,35,event_component_id,small-sample corrected cluster-robust t interval,Negative-control contrast; intervals crossing zero support the intended boundary.
false_country_cluster,false_event,observed_minus_false_event_diff,0.0705130290237466,-0.1570069203886622,0.2980329784361556,0.514866215854881,379,14,event_country,small-sample corrected cluster-robust t interval,Negative-control contrast; intervals crossing zero support the intended boundary.
