hazard_family,estimate,ci_low,ci_high,n_events,interval_method
Convective,1.5275925476190473,-0.20939779868503972,3.2645828939231345,14,event-date clustered t interval
Fog,-0.014057232323232322,-0.03858596504571232,0.010471500399247675,33,event-date clustered t interval
Low ceiling,0.2513933174603174,-0.24908178665445474,0.7518684215750895,42,event-date clustered t interval
Low visibility,0.5115442976190477,-0.1895895677635573,1.2126781630016528,56,event-date clustered t interval
Wind,0.23656085714285705,-0.20375192554815655,0.6768736398338706,7,event-date clustered t interval
