label,estimate,ci_low,ci_high,n_clusters,color
Event-date clusters,0.4062914210526314,0.07967604270644862,0.7329067993988141,152,#197E75
Component clusters,0.4062914210526314,-0.03056808320999216,0.8431509253152549,22,#B87333
Country clusters,0.4062914210526314,-0.04992444368652632,0.862507285791789,12,#9A4F32
