component_id,need_composite_z,residual_public_support_gap_z,canonical_2024_q75
1,-0.5428506548210359,0.6945729374719869,False
2,-0.3488124862407054,0.1599106441151364,False
3,0.3185412694813042,-1.5016574006196344,False
4,0.3695362691894607,0.3844138936095426,False
5,0.4353111193782644,-0.7918755876521044,False
6,0.8393612165091828,-0.9970866031094308,False
7,-1.376036160279931,-0.720952374017728,False
8,-1.01388954586726,-0.7872260799513723,False
9,-0.195213582106452,-0.7448992515188773,False
10,0.0612282113903423,0.4388083889471267,False
11,-0.0010827316820404,0.5094962477941762,False
12,0.7079206897747243,1.0582073725081682,True
13,0.5063352165167353,0.579952026436752,False
14,-0.2375060805106067,0.3938759144908112,False
15,-0.5292137960410281,-0.2716025025333001,False
16,-0.4244401403706856,0.3296653335520514,False
17,0.5541056056004434,0.4310717895898023,False
18,0.6662912611672589,0.8837815780025102,True
19,1.2969391329078803,1.0361687025059831,True
20,0.2887465620784686,0.7664991591554208,False
21,0.669213664879367,0.8233538601347177,True
22,-0.6121434228239511,1.604453951499122,False
23,0.7820654251522532,1.0269017227826789,True
24,0.1845086551691753,-0.5708152215644171,False
25,-0.2662582787302954,0.7348355913916379,False
26,1.7739218978694886,1.2150956971264777,True
27,-0.0512765192571425,0.3395447988071618,False
28,0.9017487688594084,-1.3043472657914503,False
29,-0.4031637589968823,-1.048509741160958,False
30,0.9875888742304392,-0.5586619506436945,False
31,1.2869777107446956,0.670643973841313,False
32,1.8742013551435408,1.8288143791498648,True
33,0.0212000454725292,0.1492029724513602,False
34,0.1821137001882647,-1.2650620548094291,False
35,0.0554796028725305,0.468478137377412,False
36,0.746592558124313,0.9749543820255616,True
37,0.6401403502708045,1.0854787529165195,True
38,-0.2289392014745484,0.7296893283116723,False
39,-0.4027729118464176,-0.7150992188435796,False
40,0.2822471472481251,0.816341713954054,False
41,-1.1096106682763762,0.3603730916310371,False
42,0.1420623762336541,1.0574756634017146,False
43,0.2372505534344005,0.4771370632309085,False
44,0.7642829724420682,0.7412531807714393,True
45,-0.4089591054669207,0.633127730683921,False
46,0.3091342951381853,1.481358467994897,False
47,0.1117100310968361,-0.182649450227931,False
48,1.3020007149792665,0.7901449070663249,True
49,0.0336560203437811,0.715313759799006,False
50,0.0038517207172386,-0.651401945861366,False
52,-0.0228346949904943,0.9994743011645092,False
53,1.2346294279166543,1.1788151418299426,True
54,1.5911786742158076,-0.87443631259105,False
55,-1.3339429150595898,0.9198258618157108,False
56,2.553671841832088,1.7138787678168583,True
57,0.2353162582333856,1.1571526271618344,False
58,-0.7046256698951303,0.8146354264598807,False
59,2.0510113416597067,-1.1249782593471007,False
60,-0.8621655551275563,0.7101127110983949,False
61,-1.3015275600738896,1.196781849124893,False
62,-1.5208904981458695,0.808822794125676,False
63,1.8490742267049696,-0.8135314451522146,False
64,-0.4873697596552483,0.8892654096759904,False
65,0.7250476389982885,-0.6709477342077803,False
66,1.9321593859630035,1.2055578008160623,True
67,2.184382951673239,-0.8065497466586227,False
68,2.4527374663722323,-0.3109223371579273,False
69,1.7376920495856598,-0.64290409517997,False
70,1.709775559508521,-0.7741304635936093,False
71,0.1871758012954896,0.7652084177318219,False
72,2.173219741139655,-0.3213540860070665,False
73,0.6521635854041615,-1.2821223659065062,False
74,-0.3160289804184046,-0.4674834094664126,False
75,1.6870974949509323,-0.6865964558764313,False
76,0.5974987834904765,-0.7429510319517165,False
77,0.2876195509900912,0.6134798296054887,False
78,0.0017581687341308,0.2738352853441191,False
79,1.661168812201382,-0.417517747596472,False
80,2.1266841042514537,-0.2384826548536222,False
81,0.4042178317065724,0.3777304468191612,False
82,0.8464456659016152,-0.6768538804671398,False
83,1.2981479444320507,-0.5819364165952725,False
84,-1.5509281591006367,1.4563749556754733,False
85,0.2772150613266005,-0.6733268592958286,False
86,-0.9270987686329836,-0.8702303608169689,False
87,1.4442381031381306,1.3625855305278545,True
88,0.5800057551315729,-1.273354568385931,False
89,1.6515081156591722,-0.972425481331327,False
90,-0.9806169777771304,0.9772357717991909,False
91,1.5679799067244873,0.9842321638877122,True
92,-1.7486420950230253,1.3099971616494082,False
93,2.0398822967696475,1.3187943451681683,True
94,1.8518229251602936,1.387427978201513,True
95,1.224382322788531,1.2929192136564127,True
96,-0.7685116887863392,0.4959965692106166,False
97,0.7229771303356888,-0.673698875418048,False
98,1.4951071055684406,1.1384365825100482,True
99,1.9732765454063512,1.3721447512430258,True
100,-1.476942925918843,0.0756080827293006,False
101,0.6168821536473587,0.6646993235434795,False
102,1.1762389768964177,-0.7136804804404007,False
103,0.8779073228190127,0.3616706191167306,False
104,1.4443916474046508,-1.063284223934995,False
105,0.388588197989718,0.8358635769973801,False
106,1.647094505491674,1.0422578584661433,True
107,0.3924350503315634,0.7388817136101014,False
108,0.3790759247318951,0.933918290695736,False
109,1.8168867448596209,-0.4123597419993581,False
110,0.6906945712072061,-1.0245865741800702,False
111,0.1708247282876816,0.5365322319959029,False
112,0.1778874306194729,0.0914506648186203,False
113,-1.161605616412181,0.243509358927521,False
114,-0.4862403649986819,1.5327665239805517,False
115,-0.6501723622253556,0.8473528267836985,False
116,-0.7086339459749863,-0.7360585107428906,False
117,-0.6701956414116435,-0.6988447921470493,False
118,-0.861776014317832,0.2918387887543481,False
119,0.7300703212581465,1.2216678557420555,True
120,-1.4594691141593683,0.8945311975395692,False
121,-0.8439742505893871,-0.8871597269161215,False
122,-0.2288688540191491,-0.7597495748340933,False
123,1.2191178093443067,1.0236294577235496,True
124,-0.7367421259093683,0.3924819094921857,False
125,-1.5212216405137342,0.9481567701764226,False
126,-0.078701852319363,-0.7996371586181639,False
127,-0.4790012615883811,-0.4102797374103498,False
128,-0.3278954539144229,-0.5047672497758456,False
129,0.3170071694616769,-0.4592347598348113,False
130,-0.2808628125366847,-0.1138126182083814,False
131,0.0300377008853457,1.0294288526530373,False
133,-2.321692702247824,-0.6225646349937839,False
134,-0.5139488381283036,0.8854348936875884,False
135,-0.4323080083136653,-0.0861855264656056,False
136,1.387656222870049,0.968361380495168,True
137,-1.279144265736563,0.4594497531648511,False
138,-0.195721663948259,0.4592073246716118,False
139,0.7594624578661712,-1.364715441004805,False
140,-0.5048752930905563,0.430204908759082,False
141,0.559520049300477,1.168584878332651,False
142,0.4027143114609903,-1.3186672188137336,False
143,0.1322633130052873,0.6474700871362576,False
