country,estimate,ci_low,ci_high,n_events
China,0.007883642857142853,-0.06835477314209558,0.08412205885638128,14
France,0.22929623333333332,-0.12184230542006735,0.580434772086734,10
India,1.0779629404761908,-0.3418696610355225,2.4977955419879043,28
México,0.0402037,-0.08276764566727388,0.16317504566727387,20
Poland,-0.004728366666666667,-0.013161250201370437,0.003704516868037103,30
Russia,-0.07351855555555556,-0.14857469665547837,0.0015375855443672537,18
Turkey,1.6119444333333328,-0.7423439305188719,3.966232797185538,10
Ukraine,0.06302477777777776,-0.19989256211726486,0.3259421176728204,6
Vietnam,0.17803703333333337,-1.0081738462114933,1.3642479128781602,10
