specification,estimate,ci_low,ci_high,family
main_gpm_matched,0.5185561899224806,0.3175347214544829,0.7195776583904784,event_validation
strict_placebo_v4,0.5799866270676691,0.2988574476579921,0.8611158064773461,placebo
false_event_control_v1,0.0705130290237467,-0.2409964936826825,0.3820225517301759,negative_control
era5_scalar_negative_control_era5_2m_temperature,-0.9044945965082444,-1.1819272511630017,-0.6270619418534873,negative_control
era5_scalar_negative_control_era5_surface_pressure,-1129.2464225761394,-1438.4112400787092,-820.0816050735696,negative_control
wind_family_boundary_mean,-0.3531385935984481,-0.4382807458472323,-0.2679964413496639,wind_boundary
wind_family_boundary_max,-0.4281626275460718,-0.5368907396352329,-0.3194345154569106,wind_boundary
