component_id,residual_public_support_gap_z,canonical_2024_q75
1,0.6945729374719869,False
2,0.1599106441151364,False
3,-1.5016574006196344,False
4,0.3844138936095426,False
5,-0.7918755876521044,False
6,-0.9970866031094308,False
7,-0.720952374017728,False
8,-0.7872260799513723,False
9,-0.7448992515188773,False
10,0.4388083889471267,False
11,0.5094962477941762,False
12,1.0582073725081682,True
13,0.579952026436752,False
14,0.3938759144908112,False
15,-0.2716025025333001,False
16,0.3296653335520514,False
17,0.4310717895898023,False
18,0.8837815780025102,True
19,1.0361687025059831,True
20,0.7664991591554208,False
21,0.8233538601347177,True
22,1.604453951499122,False
23,1.0269017227826789,True
24,-0.5708152215644171,False
25,0.7348355913916379,False
26,1.2150956971264777,True
27,0.3395447988071618,False
28,-1.3043472657914503,False
29,-1.048509741160958,False
30,-0.5586619506436945,False
31,0.670643973841313,False
32,1.8288143791498648,True
33,0.1492029724513602,False
34,-1.2650620548094291,False
35,0.468478137377412,False
36,0.9749543820255616,True
37,1.0854787529165195,True
38,0.7296893283116723,False
39,-0.7150992188435796,False
40,0.816341713954054,False
41,0.3603730916310371,False
42,1.0574756634017146,False
43,0.4771370632309085,False
44,0.7412531807714393,True
45,0.633127730683921,False
46,1.481358467994897,False
47,-0.182649450227931,False
48,0.7901449070663249,True
49,0.715313759799006,False
50,-0.651401945861366,False
52,0.9994743011645092,False
53,1.1788151418299426,True
54,-0.87443631259105,False
55,0.9198258618157108,False
56,1.7138787678168583,True
57,1.1571526271618344,False
58,0.8146354264598807,False
59,-1.1249782593471007,False
60,0.7101127110983949,False
61,1.196781849124893,False
62,0.808822794125676,False
63,-0.8135314451522146,False
64,0.8892654096759904,False
65,-0.6709477342077803,False
66,1.2055578008160623,True
67,-0.8065497466586227,False
68,-0.3109223371579273,False
69,-0.64290409517997,False
70,-0.7741304635936093,False
71,0.7652084177318219,False
72,-0.3213540860070665,False
73,-1.2821223659065062,False
74,-0.4674834094664126,False
75,-0.6865964558764313,False
76,-0.7429510319517165,False
77,0.6134798296054887,False
78,0.2738352853441191,False
79,-0.417517747596472,False
80,-0.2384826548536222,False
81,0.3777304468191612,False
82,-0.6768538804671398,False
83,-0.5819364165952725,False
84,1.4563749556754733,False
85,-0.6733268592958286,False
86,-0.8702303608169689,False
87,1.3625855305278545,True
88,-1.273354568385931,False
89,-0.972425481331327,False
90,0.9772357717991909,False
91,0.9842321638877122,True
92,1.3099971616494082,False
93,1.3187943451681683,True
94,1.387427978201513,True
95,1.2929192136564127,True
96,0.4959965692106166,False
97,-0.673698875418048,False
98,1.1384365825100482,True
99,1.3721447512430258,True
100,0.0756080827293006,False
101,0.6646993235434795,False
102,-0.7136804804404007,False
103,0.3616706191167306,False
104,-1.063284223934995,False
105,0.8358635769973801,False
106,1.0422578584661433,True
107,0.7388817136101014,False
108,0.933918290695736,False
109,-0.4123597419993581,False
110,-1.0245865741800702,False
111,0.5365322319959029,False
112,0.0914506648186203,False
113,0.243509358927521,False
114,1.5327665239805517,False
115,0.8473528267836985,False
116,-0.7360585107428906,False
117,-0.6988447921470493,False
118,0.2918387887543481,False
119,1.2216678557420555,True
120,0.8945311975395692,False
121,-0.8871597269161215,False
122,-0.7597495748340933,False
123,1.0236294577235496,True
124,0.3924819094921857,False
125,0.9481567701764226,False
126,-0.7996371586181639,False
127,-0.4102797374103498,False
128,-0.5047672497758456,False
129,-0.4592347598348113,False
130,-0.1138126182083814,False
131,1.0294288526530373,False
133,-0.6225646349937839,False
134,0.8854348936875884,False
135,-0.0861855264656056,False
136,0.968361380495168,True
137,0.4594497531648511,False
138,0.4592073246716118,False
139,-1.364715441004805,False
140,0.430204908759082,False
141,1.168584878332651,False
142,-1.3186672188137336,False
143,0.6474700871362576,False
144,1.4980518135278378,False
145,0.6387432186670068,False
146,0.7075829712879267,False
147,0.0719501936829951,False
148,0.6000208718432456,False
149,-1.3433658273122009,False
150,0.8930873373236555,False
151,0.4786053754983055,False
152,-0.602635450493316,False
153,-0.8228592153110086,False
154,-0.5897668405184027,False
155,1.6015194193823006,False
156,0.5343223295047617,False
157,0.9302647626075736,True
158,-0.2179061415619927,False
159,0.9155438175140186,True
160,-1.356382667022724,False
161,0.7087216172718317,False
162,0.9146750171779208,False
163,0.4060376728205165,False
164,1.21054829035983,False
165,0.0520809059531522,False
166,0.145731352423405,False
167,0.7783378859222387,False
168,1.072295550090693,False
169,0.6120921850615453,False
170,0.9098353470539609,False
171,0.4867603770808102,False
172,0.7014050980525461,False
173,-0.9351741899611148,False
174,0.6721320470529311,False
175,1.806098428271044,True
176,-1.4207886064673718,False
177,0.7158033474224776,False
178,-1.4606565230030797,False
179,-0.8853330112072582,False
180,-1.4161632873560834,False
181,-0.6899063764655191,False
182,-0.913726178828721,False
183,0.8568205574382775,True
184,-1.3432188329065482,False
185,0.6494178447079939,False
186,0.728405046559758,False
187,1.293891753003735,True
189,0.3909585365314352,False
190,0.8209612508768274,True
191,0.1490903019035849,False
192,0.5340784655209687,False
193,-1.2717311279848298,False
194,1.349339757411071,False
195,-0.6560293653874247,False
196,-0.47940411558687,False
197,-0.8074820669000456,False
198,1.046931668598806,False
199,0.7125187065970708,False
200,0.6177400886218963,False
201,0.3763865092774005,False
202,-0.9756246465475812,False
203,-0.5898855003831054,False
204,0.2335349316597308,False
205,-1.436568517917188,False
206,4.522037667156317,True
207,0.5884616137662849,False
208,1.671991885845858,False
209,0.9936758255369598,True
210,1.283487363970383,False
211,0.4260563960377171,False
212,-1.072424669368365,False
213,-1.1842862927348352,False
214,-1.1763819994596725,False
215,-0.6006654661346027,False
216,0.5264292250184102,False
217,-0.5439017797286922,False
218,0.7135901447072968,False
219,0.7917567682376215,False
220,1.6166580052597346,False
221,0.8098043114516058,False
222,0.603476524044982,False
223,0.9619456737942578,True
224,0.3572864124884557,False
225,0.5731292170884148,False
226,1.6923573509162146,False
227,-0.749839752762839,False
228,-0.5710572939741502,False
229,0.488778467726237,False
230,0.3076476771668154,False
231,-0.3000115233892477,False
232,0.8046530226419677,False
233,1.5064129860522857,True
234,1.5445792991176623,False
235,-0.5468410475407284,False
236,1.5689820788647395,True
237,-0.1020805606711026,False
238,-1.3716990852704214,False
239,0.5567430010949215,False
240,0.4275103695552309,False
241,-1.1121932737173978,False
242,-0.4397014507566945,False
243,0.647718188372361,False
244,-0.6252148141861442,False
245,1.4903948264531204,True
246,-0.3739950365378413,False
247,-0.6455877967769763,False
248,0.0935037159977085,False
249,-0.6148309434996908,False
250,-1.2989447025243537,False
251,-0.2242404739150583,False
252,-0.8886804587468078,False
253,-0.2514098020620424,False
255,0.8477738441234783,True
256,0.3700373486312101,False
257,-0.9905540416881524,False
258,-0.0398510154675985,False
259,0.3052583949964572,False
260,-0.8665670892371449,False
261,1.0049501163242158,True
262,1.4588551869623665,False
263,-1.060290533987263,False
264,0.0890815022959109,False
265,-1.0133795636481993,False
266,0.4540291650910493,False
267,0.4678856499269093,False
268,0.0886288756302104,False
269,0.8342312108829305,True
270,1.433478751954208,False
271,-1.1743806337895466,False
272,0.8978776724505546,True
273,0.5380373448935963,False
274,-0.6865823246684977,False
275,-0.3810381365211548,False
276,-1.1516225200264751,False
277,1.36548390345425,True
278,0.8032599658037486,True
279,0.3708027505913187,False
280,1.2343882743565178,True
281,1.2229256495993055,True
282,1.3139741434855057,True
283,-0.042460143620403,False
284,1.0987834052402214,True
285,1.1211767602400868,True
286,-0.0799821715501358,False
287,0.4494551163907808,False
288,-1.4407367386184715,False
289,0.1758254944521424,False
290,-0.0042864214353968,False
291,-1.262102548617596,False
292,-0.0460544923769928,False
293,-0.3263677921786424,False
294,2.044671901051329,True
295,-0.7152851931230868,False
296,-1.1827467324786498,False
297,1.4161835897754615,False
298,0.1787654363525623,False
299,-0.6129445583422954,False
300,-0.4699073265304547,False
301,0.3233178266189466,False
302,0.2101394595386301,False
303,-0.7473810902248437,False
304,-0.2988656173944722,False
305,-0.5429997003805774,False
306,-0.8667553002983165,False
307,0.4242720875959424,False
308,1.3539007028207446,False
309,0.6107627459088908,False
310,-0.307439822579281,False
311,1.351068452503846,False
312,-0.6333751368458301,False
314,-0.2944066255284633,False
315,-1.1537067717920195,False
316,-1.2955524648995602,False
317,0.8633903657287536,False
319,0.0900685991232222,False
