denominator_uncertainty_flag,rows,q75,q90,q95,q75_share,q90_share,q95_share
False,5733,183,20,4,3.192046049188906,0.3488574917146346,0.06977149834292691
True,5689,474,63,10,8.331868518193005,1.1074002460889436,0.17577781683951485
