model_name,label,n,r2,need_coefficient,need_ci_low,need_ci_high
need_only,Need only,11422,0.1613336137325475,0.4016635578846396,,
available_controls,Pooled controls,11422,0.28506420236746444,0.24592342464341727,0.11877098028682681,0.3730758690000077
country_fixed_effects,Country FE,11422,0.45399294922467603,-0.06438299042865654,-0.12665762103315928,-0.002108359824153798
denominator_certain,Denominator-certain,5733,0.3021671613953707,0.1839127176299959,,
