label,estimate,ci_low,ci_high,n_clusters,color
Aligned placebo,0.21066589895470372,-0.0016741137172764098,0.4230059116266839,119,#B87333
False-event control,0.19171826428571426,-0.39218183239065285,0.7756183609620814,48,#6B7280
