label,estimate,ci_low,ci_high,n_clusters
Main,0.4062914210526314,0.07967604270644862,0.7329067993988141,152
No Poland,0.5073618606557379,0.10134643105183655,0.9133772902596391,122
No China-India,0.2860269333333334,0.0006793012370961415,0.5713745654295707,110
No 2022,0.29876745355191264,-0.04308618781259277,0.640621094916418,122
