proxy,spearman_rho
Population,-0.27486485899088614
Policy,0.2872658407796613
Vertiport,0.40519856543014043
Heliport,0.4837370937284246
Verti/heli,0.5132608412327413
NTL,0.551820334776971
Hazard,0.562294720380102
Demand,0.6600232690820403
Urban form,0.7586138206491907
