hazard_family,estimate,ci_low,ci_high,n_events
Convective,1.5275925476190473,-0.20939779868503972,3.2645828939231345,14
Fog,-0.014057232323232322,-0.03858596504571232,0.010471500399247675,33
Low ceiling,0.23957914393939395,-0.23749995050610823,0.7166582383848961,44
Low visibility,0.5303051975308642,-0.19714492636094028,1.2577553214226689,54
Wind,0.23656085714285705,-0.20375192554815655,0.6768736398338706,7
