index,demand_proxy_v2,weather_hazard_proxy,urban_form_complexity_proxy,population_density_proxy,ntl_score,vertiport_score,heliport_score,policy_pilot_score,vertiport_heliport_score,need_composite_z
demand_proxy_v2,1.0,0.13433550117286225,0.3346413208527562,-0.24635420884736298,0.8430606336878529,0.684631571638396,0.6959626940040157,0.3072625867596228,0.8286244699240267,0.6600232690820403
weather_hazard_proxy,0.13433550117286225,1.0,0.11788377014689852,-0.13487893485539718,0.10974898887726388,0.09728248356586186,0.08846242354526976,0.11329721279281009,0.10816343557936055,0.5622947203801019
urban_form_complexity_proxy,0.3346413208527562,0.11788377014689852,1.0,-0.22148599224347926,0.27463692477026214,0.1345597497373651,0.2917735418143267,0.2190004910474948,0.2260154919826895,0.7586138206491906
population_density_proxy,-0.24635420884736298,-0.13487893485539718,-0.22148599224347926,1.0,-0.21363743931582085,-0.1753698108993823,-0.3159200975310707,-0.25948198499684355,-0.27981888752322326,-0.27486485899088614
ntl_score,0.8430606336878529,0.10974898887726388,0.27463692477026214,-0.21363743931582085,1.0,0.5163022909798619,0.4490334442571571,0.21102081106848622,0.5694148453768229,0.551820334776971
vertiport_score,0.684631571638396,0.09728248356586186,0.1345597497373651,-0.1753698108993823,0.5163022909798619,1.0,0.38090410434178423,0.24025154469737664,0.8258941269663292,0.40519856543014043
heliport_score,0.6959626940040157,0.08846242354526976,0.2917735418143267,-0.3159200975310707,0.4490334442571571,0.38090410434178423,1.0,0.265870165406856,0.8235383254268209,0.48373709372842455
policy_pilot_score,0.3072625867596228,0.11329721279281009,0.2190004910474948,-0.25948198499684355,0.21102081106848622,0.24025154469737664,0.265870165406856,1.0,0.2809194413652917,0.28726584077966133
vertiport_heliport_score,0.8286244699240267,0.10816343557936055,0.2260154919826895,-0.27981888752322326,0.5694148453768229,0.8258941269663292,0.8235383254268209,0.2809194413652917,1.0,0.5132608412327412
need_composite_z,0.6600232690820403,0.5622947203801019,0.7586138206491906,-0.27486485899088614,0.551820334776971,0.40519856543014043,0.48373709372842455,0.28726584077966133,0.5132608412327412,1.0
