match_id,event_component_id,event_date_utc,event_city_name,event_year,dominant_hazard,control_component_id,control_city_name,placebo_source_event_component_id,placebo_date_utc,placebo_source_event_year,placebo_source_rule,placebo_year_distance,placebo_month_distance,event_gpm_event_subset_precip_mm_est,control_gpm_event_subset_precip_mm_est,placebo_event_gpm_event_subset_precip_mm_est,observed_diff,placebo_diff,observed_minus_placebo_diff,placebo_status,event_country
10954|2020-09-01|Giridih,10954,2020-09-01,Giridih,2020,thunder_or_convective,10132,Thanjavur,,,,missing_control_day_donor,,,2.820556,4.448333,,-1.627777,,,missing_placebo_or_control_metric,India
10954|2020-09-01|Giridih,10954,2020-09-01,Giridih,2020,thunder_or_convective,10080,Siltara,,,,missing_control_day_donor,,,2.820556,0.0,,2.820556,,,missing_placebo_or_control_metric,India
10954|2020-09-01|Giridih,10954,2020-09-01,Giridih,2020,thunder_or_convective,11432,Chandpara,,,,missing_control_day_donor,,,2.820556,0.748889,,2.071667,,,missing_placebo_or_control_metric,India
10954|2020-12-10|Giridih,10954,2020-12-10,Giridih,2020,low_vis_1km,10132,Thanjavur,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10954|2020-12-10|Giridih,10954,2020-12-10,Giridih,2020,low_vis_1km,10080,Siltara,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10954|2020-12-10|Giridih,10954,2020-12-10,Giridih,2020,low_vis_1km,11432,Chandpara,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
7672|2020-12-27|Zigong,7672,2020-12-27,Zigong,2020,fog,10851,Yangjiang,7672.0,2020-12-26,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,China
7672|2020-12-27|Zigong,7672,2020-12-27,Zigong,2020,fog,9653,Ningming,7672.0,2020-12-26,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,China
7672|2020-12-27|Zigong,7672,2020-12-27,Zigong,2020,fog,7775,Xingping,7672.0,2020-12-26,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.057778,0.0,-0.057778,-0.057778,0.0,ok_control_day,China
7672|2020-12-26|Zigong,7672,2020-12-26,Zigong,2020,fog,10851,Yangjiang,7672.0,2020-12-27,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,China
7672|2020-12-26|Zigong,7672,2020-12-26,Zigong,2020,fog,9653,Ningming,7672.0,2020-12-27,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,China
7672|2020-12-26|Zigong,7672,2020-12-26,Zigong,2020,fog,7775,Xingping,7672.0,2020-12-27,2020.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.057778,0.0,0.057778,-0.057778,ok_control_day,China
10936|2020-09-01|Phusro,10936,2020-09-01,Phusro,2020,thunder_or_convective,9446,Kapri Kheda,,,,missing_control_day_donor,,,2.41,0.0,,2.41,,,missing_placebo_or_control_metric,India
10936|2020-09-01|Phusro,10936,2020-09-01,Phusro,2020,thunder_or_convective,11394,Chakdaha,,,,missing_control_day_donor,,,2.41,1.220556,,1.189444,,,missing_placebo_or_control_metric,India
10936|2020-09-01|Phusro,10936,2020-09-01,Phusro,2020,thunder_or_convective,10228,Mangalagiri,,,,missing_control_day_donor,,,2.41,0.402222,,2.007778,,,missing_placebo_or_control_metric,India
10936|2020-12-10|Phusro,10936,2020-12-10,Phusro,2020,low_vis_1km,9446,Kapri Kheda,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10936|2020-12-10|Phusro,10936,2020-12-10,Phusro,2020,low_vis_1km,11394,Chakdaha,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
10936|2020-12-10|Phusro,10936,2020-12-10,Phusro,2020,low_vis_1km,10228,Mangalagiri,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,India
4263|2020-01-19|Rzeszów,4263,2020-01-19,Rzeszów,2020,fog,3850,Wołomin,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,Poland
4263|2020-01-19|Rzeszów,4263,2020-01-19,Rzeszów,2020,fog,3403,Bełchatów,4263.0,2024-12-02,2024.0,same_control_component_hazard_cross_year_month_window,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Poland
4263|2020-01-19|Rzeszów,4263,2020-01-19,Rzeszów,2020,fog,3068,Częstochowa,4263.0,2024-12-02,2024.0,same_control_component_hazard_cross_year_month_window,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Poland
4263|2020-11-09|Rzeszów,4263,2020-11-09,Rzeszów,2020,fog,3850,Wołomin,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric,Poland
4263|2020-11-09|Rzeszów,4263,2020-11-09,Rzeszów,2020,fog,3403,Bełchatów,4263.0,2021-11-17,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Poland
4263|2020-11-09|Rzeszów,4263,2020-11-09,Rzeszów,2020,fog,3068,Częstochowa,4263.0,2024-12-02,2024.0,same_control_component_hazard_cross_year_month_window,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day,Poland
3944|2020-01-29|Belgorod,3944,2020-01-29,Belgorod,2020,low_vis_5km,6031,Ulyanovsk,3944.0,2021-01-23,2021.0,same_control_component_hazard_cross_year_month_window,1.0,0.0,0.0,0.276667,0.227778,-0.276667,-0.048889,-0.227778,ok_control_day,Russia
