scope,rows,top_rows,coastal_rows,inland_rows,coastal_top_rate,inland_top_rate,inland_minus_coastal_top_rate,uncertainty_share_top
global_full,11422,1143,4375,7047,0.07748571428571428,0.11409110259684972,0.03660538831113544,0.868766404199475
global_excl_china,9448,796,3837,5611,0.0656763096168882,0.09695241489930494,0.03127610528241674,0.8278894472361809
global_excl_india,9497,808,3950,5547,0.07316455696202531,0.09356408869659276,0.020399531734567447,0.9183168316831684
global_excl_china_india,7523,461,3412,4111,0.05920281359906213,0.06300170274872294,0.0037988891496608043,0.8850325379609545
