stream,events,matched_rows,event_components,countries,interpretation
broader selected event stream,344,1032,52,26,broader selected high-gap stream; retained as sensitivity
exact q75-aligned event stream,152,456,22,12,primary event analysis; event component-year satisfies released q75 flag
