match_id,event_component_id,event_date_utc,event_city_name,event_year,dominant_hazard,control_component_id,control_city_name,placebo_source_event_component_id,placebo_date_utc,placebo_source_event_year,placebo_source_rule,placebo_year_distance,placebo_month_distance,event_gpm_event_subset_precip_mm_est,control_gpm_event_subset_precip_mm_est,placebo_event_gpm_event_subset_precip_mm_est,observed_diff,placebo_diff,observed_minus_placebo_diff,placebo_status
7989|2023-07-11|Eket,7989,2023-07-11,Eket,2023,low_ceiling_1000m,8257,Okuku Lepuole,7989.0,2023-08-12,2023.0,same_control_component_hazard_same_year_month_window,0.0,1.0,0.042222,0.118889,0.039444,-0.076667,-0.079445,0.002778,ok_control_day
4379|2023-07-09|Karadeniz Ereğli,4379,2023-07-09,Karadeniz Ereğli,2023,thunder_or_convective,858,Tekirdağ,4379.0,2022-06-27,2022.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,2.066111,0.0,0.051111,2.066111,0.051111,2.015,ok_control_day
4379|2023-07-09|Karadeniz Ereğli,4379,2023-07-09,Karadeniz Ereğli,2023,thunder_or_convective,3459,Yalova,4379.0,2022-06-27,2022.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,2.066111,0.982778,0.0,1.083333,-0.982778,2.066111,ok_control_day
4379|2023-07-09|Karadeniz Ereğli,4379,2023-07-09,Karadeniz Ereğli,2023,thunder_or_convective,5938,Dörtyol,,,,missing_control_day_donor,,,2.066111,0.0,,2.066111,,,missing_placebo_or_control_metric
4379|2023-04-27|Karadeniz Ereğli,4379,2023-04-27,Karadeniz Ereğli,2023,thunder_or_convective,858,Tekirdağ,4379.0,2021-04-05,2021.0,same_control_component_hazard_cross_year_month_window,2.0,0.0,1.011111,1.423333,0.001111,-0.412222,-1.422222,1.01,ok_control_day
4379|2023-04-27|Karadeniz Ereğli,4379,2023-04-27,Karadeniz Ereğli,2023,thunder_or_convective,3459,Yalova,4379.0,2021-04-05,2021.0,same_control_component_hazard_cross_year_month_window,2.0,0.0,1.011111,3.523333,0.238889,-2.512222,-3.284444,0.772222,ok_control_day
4379|2023-04-27|Karadeniz Ereğli,4379,2023-04-27,Karadeniz Ereğli,2023,thunder_or_convective,5938,Dörtyol,,,,missing_control_day_donor,,,1.011111,0.666111,,0.345,,,missing_placebo_or_control_metric
10954|2023-01-02|Giridih,10954,2023-01-02,Giridih,2023,low_vis_5km,10080,Siltara,10954.0,2023-01-17,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
10954|2023-01-02|Giridih,10954,2023-01-02,Giridih,2023,low_vis_5km,11398,Haringhata,10954.0,2023-01-17,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
10954|2023-01-02|Giridih,10954,2023-01-02,Giridih,2023,low_vis_5km,10060,Ranipet,10954.0,2023-01-17,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
10954|2023-01-17|Giridih,10954,2023-01-17,Giridih,2023,low_vis_5km,10080,Siltara,10954.0,2023-01-02,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
10954|2023-01-17|Giridih,10954,2023-01-17,Giridih,2023,low_vis_5km,11398,Haringhata,10954.0,2023-01-02,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
10954|2023-01-17|Giridih,10954,2023-01-17,Giridih,2023,low_vis_5km,10060,Ranipet,10954.0,2023-01-02,2023.0,same_control_component_hazard_same_year_month_window,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok_control_day
175|2023-09-12|Điện Biên Phủ,175,2023-09-12,Điện Biên Phủ,2023,thunder_or_convective,1739,Phúc Yên,175.0,2024-08-13,2024.0,same_control_component_hazard_cross_year_month_window,1.0,1.0,0.0,0.048889,4.174444,-0.048889,4.125555,-4.174444,ok_control_day
175|2023-09-12|Điện Biên Phủ,175,2023-09-12,Điện Biên Phủ,2023,thunder_or_convective,3097,Lạng Sơn,,,,missing_control_day_donor,,,0.0,2.579444,,-2.579444,,,missing_placebo_or_control_metric
175|2023-09-12|Điện Biên Phủ,175,2023-09-12,Điện Biên Phủ,2023,thunder_or_convective,3961,Uông Bí,175.0,2020-08-15,2020.0,same_control_component_hazard_cross_year_month_window,3.0,1.0,0.0,0.460556,0.010556,-0.460556,-0.45,-0.010556,ok_control_day
175|2023-04-26|Điện Biên Phủ,175,2023-04-26,Điện Biên Phủ,2023,low_ceiling_1000m,1739,Phúc Yên,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric
175|2023-04-26|Điện Biên Phủ,175,2023-04-26,Điện Biên Phủ,2023,low_ceiling_1000m,3097,Lạng Sơn,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric
175|2023-04-26|Điện Biên Phủ,175,2023-04-26,Điện Biên Phủ,2023,low_ceiling_1000m,3961,Uông Bí,,,,missing_control_day_donor,,,0.0,0.007778,,-0.007778,,,missing_placebo_or_control_metric
46|2023-01-18|Kamsar,46,2023-01-18,Kamsar,2023,low_vis_1km,2420,Boulogne-sur-Mer,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric
46|2023-01-18|Kamsar,46,2023-01-18,Kamsar,2023,low_vis_1km,4599,Belfort,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric
46|2023-01-18|Kamsar,46,2023-01-18,Kamsar,2023,low_vis_1km,3459,Yalova,,,,missing_control_day_donor,,,0.0,0.0,,0.0,,,missing_placebo_or_control_metric
46|2023-08-12|Kamsar,46,2023-08-12,Kamsar,2023,fog,2420,Boulogne-sur-Mer,,,,missing_control_day_donor,,,2.055,0.0,,2.055,,,missing_placebo_or_control_metric
46|2023-08-12|Kamsar,46,2023-08-12,Kamsar,2023,fog,4599,Belfort,,,,missing_control_day_donor,,,2.055,0.018333,,2.036667,,,missing_placebo_or_control_metric
