component_id,year,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,canonical_2024_q90,canonical_2024_q95
1,2015,-0.5350071859772657,-0.5495430293349354,0.5495430293349354,False,False,False
1,2016,-0.5201554642175467,-0.5708099818128645,0.5708099818128645,False,False,False
1,2017,-0.499171466641527,-0.574942430183075,0.574942430183075,False,False,False
1,2018,-0.520500909468807,-0.564083991910111,0.564083991910111,False,False,False
1,2019,-0.493375124203105,-0.5670553203165334,0.5670553203165334,False,False,False
1,2020,-0.4953724644161508,-0.5628902559247203,0.5628902559247203,False,False,False
1,2021,-0.5201123475377315,-0.5466886107054653,0.5466886107054653,False,False,False
1,2022,-0.4940882931128402,-0.5461313275664076,0.5461313275664076,False,False,False
1,2023,-0.486709162332711,-0.5535392103346665,0.5535392103346665,False,False,False
1,2024,-0.5428506548210359,-0.6945729374719869,0.6945729374719869,False,False,False
2,2015,-0.4339323045324936,-0.0875685734337272,0.0875685734337272,False,False,False
2,2016,-0.4247760311341422,-0.1155088500064922,0.1155088500064922,False,False,False
2,2017,-0.4047739431947877,-0.1090871254040589,0.1090871254040589,False,False,False
2,2018,-0.4339337936207792,-0.1032124949536569,0.1032124949536569,False,False,False
2,2019,-0.4072807566050102,-0.080117525295927,0.080117525295927,False,False,False
2,2020,-0.2551451821743357,-0.1200441489714909,0.1200441489714909,False,False,False
2,2021,-0.0551442646810554,-0.1362891302224739,0.1362891302224739,False,False,False
2,2022,-0.2188055754688759,-0.1126099564144833,0.1126099564144833,False,False,False
2,2023,-0.2970361130452925,-0.0956965007207068,0.0956965007207068,False,False,False
2,2024,-0.3488124862407054,-0.1599106441151364,0.1599106441151364,False,False,False
3,2015,0.2966305070099306,1.2411515690072727,-1.2411515690072727,False,False,False
3,2016,0.2553397849634903,1.246637331556412,-1.246637331556412,False,False,False
3,2017,0.2008901908425711,1.2689866197369768,-1.2689866197369768,False,False,False
3,2018,0.2593248529824936,1.2604766225088662,-1.2604766225088662,False,False,False
3,2019,0.2496361932340688,1.2135179020288,-1.2135179020288,False,False,False
3,2020,0.31663543872948,1.1895673701914098,-1.1895673701914098,False,False,False
3,2021,0.3642767298678407,1.2245196321090628,-1.2245196321090628,False,False,False
3,2022,0.2474854150519344,1.3042689606388431,-1.3042689606388431,False,False,False
3,2023,0.4960221983933323,1.285448046694316,-1.285448046694316,False,False,False
3,2024,0.3185412694813042,1.5016574006196344,-1.5016574006196344,False,False,False
4,2015,0.4307648260940305,-0.5696409762948318,0.5696409762948318,False,False,False
4,2016,0.3978271039082193,-0.5770744921222257,0.5770744921222257,False,False,False
4,2017,0.4381774181326132,-0.5694802214816875,0.5694802214816875,False,False,False
4,2018,0.4094088797505654,-0.5621375273419984,0.5621375273419984,False,False,False
4,2019,0.4282915776080352,-0.5590068281537117,0.5590068281537117,False,False,False
4,2020,0.529556586326109,-0.5738771913589071,0.5738771913589071,False,False,False
4,2021,0.4537384145600756,-0.4709071419098595,0.4709071419098595,False,False,False
4,2022,0.4389992873528819,-0.4591678069577705,0.4591678069577705,False,False,False
4,2023,0.4068876692411869,-0.4558928865540709,0.4558928865540709,False,False,False
4,2024,0.3695362691894607,-0.3844138936095426,0.3844138936095426,False,False,False
5,2015,-0.078787369118059,0.753478633303763,-0.753478633303763,False,False,False
5,2016,0.3224627261130521,0.7690916660505334,-0.7690916660505334,False,False,False
5,2017,0.2018532564873245,0.7353963697545043,-0.7353963697545043,False,False,False
5,2018,0.0167469015673975,0.7904501381080664,-0.7904501381080664,False,False,False
5,2019,0.0951625670148988,0.8222935144274828,-0.8222935144274828,False,False,False
5,2020,0.1392828093603189,0.7538410494508525,-0.7538410494508525,False,False,False
5,2021,0.3531629037912664,0.7362948928662341,-0.7362948928662341,False,False,False
