component_id,year,country,city_name,centroid_lat,centroid_lon,public_hourly_surface_observation_support,denominator_uncertainty_flag,official_station_count_50km,public_hourly_station_count_50km,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,canonical_2024_q90,canonical_2024_q95
12,2024,Costa Rica,Liberia,10.632887471000874,-85.4373721235411,0.355250102142065,True,2,1,0.7079206897747243,-1.0582073725081682,1.0582073725081682,True,False,False
18,2024,Jamaica,Montego Bay,18.471904847145225,-77.91071940500031,0.7746162376699935,True,226,1,0.6662912611672589,-0.8837815780025102,0.8837815780025102,True,False,False
19,2024,Bahamas,Nassau,25.043774961954984,-77.33014903332258,0.4017101500029183,True,2,0,1.2969391329078803,-1.0361687025059831,1.0361687025059831,True,False,False
21,2024,Venezuela,Ureña,7.9202287961156355,-72.44375237829726,0.3851923189167104,True,10,3,0.669213664879367,-0.8233538601347177,0.8233538601347177,True,False,False
23,2024,Aruba,Oranjestad,12.5355200910284,-70.03071033644191,0.4211171423568551,False,1,1,0.7820654251522532,-1.0269017227826789,1.0269017227826789,True,False,False
26,2024,Curaçao,Willemstad,12.12399053547019,-68.90612955740099,0.3723807856183972,True,3,1,1.7739218978694886,-1.2150956971264777,1.2150956971264777,True,True,False
32,2024,Barbados,Bridgetown,13.09708407503283,-59.5853122540941,0.4321193019319442,True,100,1,1.8742013551435408,-1.8288143791498648,1.8288143791498648,True,True,True
36,2024,Uruguay,Salto,-31.390500738396877,-57.96140756973467,0.4080721414813517,True,3,1,0.746592558124313,-0.9749543820255616,0.9749543820255616,True,False,False
37,2024,French Guiana,Cayenne,4.927615176176649,-52.299992870290446,0.3485087258506975,True,2,1,0.6401403502708045,-1.0854787529165195,1.0854787529165195,True,False,False
44,2024,Portugal,Funchal,32.654492299912235,-16.932136689975785,0.4261366952664449,True,3,2,0.7642829724420682,-0.7412531807714393,0.7412531807714393,True,False,False
48,2024,Iceland,Reykjavik,64.12058060251677,-21.89394535794247,0.47183797350143,False,28,29,1.3020007149792665,-0.7901449070663249,0.7901449070663249,True,False,False
53,2024,Ireland,Galway,53.27392758346856,-9.047940757636647,0.4523434308060468,False,2,2,1.2346294279166543,-1.1788151418299426,1.1788151418299426,True,False,False
56,2024,France,Brest,48.3957423523628,-4.489250134306428,0.383412128640635,False,7,9,2.553671841832088,-1.7138787678168583,1.7138787678168583,True,True,True
66,2024,Norway,Bergen,60.4047300465318,5.319509108623584,0.4872760170431331,False,5,5,1.9321593859630035,-1.2055578008160623,1.2055578008160623,True,True,False
87,2024,Malta,Valletta,35.888097357372985,14.491621242246913,0.4284130041440495,True,4,1,1.4442381031381306,-1.3625855305278545,1.3625855305278545,True,True,False
91,2024,Bosnia and Herzegovina,Banja Luka,44.78588257986481,17.199994606214997,0.4722757252086616,True,21,4,1.5679799067244873,-0.9842321638877122,0.9842321638877122,True,False,False
93,2024,Finland,Turku,60.45260939364871,22.26715760041768,0.4146092336426779,True,9,6,2.0398822967696475,-1.3187943451681683,1.3187943451681683,True,True,False
94,2024,Russia,Kaliningrad,54.7130563748016,20.510887574197152,0.3723224187240996,False,2,4,1.8518229251602936,-1.387427978201513,1.387427978201513,True,True,True
95,2024,Lithuania,Klaipėda,55.69113472867033,21.15306403440497,0.394676939240063,True,8,5,1.224382322788531,-1.2929192136564127,1.2929192136564127,True,False,False
98,2024,Montenegro,Nikšić,42.77087150243307,18.956333485578632,0.4852915426370163,True,10,5,1.4951071055684406,-1.1384365825100482,1.1384365825100482,True,True,False
99,2024,Estonia,Tallinn,59.42364258544132,24.734144532857567,0.4018560672386622,True,6,3,1.9732765454063512,-1.3721447512430258,1.3721447512430258,True,True,False
106,2024,Ukraine,Uzhhorod,48.61574104370102,22.291876265306996,0.4455728710675304,True,5,3,1.647094505491674,-1.0422578584661433,1.0422578584661433,True,False,False
119,2024,Cyprus,Pafos,34.77373807954323,32.422958088620206,0.3782174750481527,True,32,1,0.7300703212581465,-1.2216678557420555,1.2216678557420555,True,False,False
123,2024,Northern Cyprus,Nicosia,35.19742606072548,33.34157660159836,0.4829568668651141,True,35,4,1.2191178093443067,-1.0236294577235496,1.0236294577235496,True,False,False
136,2024,Georgia,Batumi,41.638292582255744,41.63525406452148,0.4199206210237553,False,4,4,1.387656222870049,-0.968361380495168,0.968361380495168,True,False,False
157,2024,Réunion,Le Port,-20.950302684632497,55.32060104345707,0.418782466584953,True,5,2,0.8264663752128452,-0.9302647626075736,0.9302647626075736,True,False,False
159,2024,Mauritius,Port Louis,-20.22838418916387,57.4903185093048,0.3792097122512111,True,2,1,1.4398674944399277,-0.9155438175140186,0.9155438175140186,True,False,False
175,2024,Vietnam,Điện Biên Phủ,21.388702199601525,103.01858333035872,0.1662872818537325,False,1,1,0.695678410223623,-1.806098428271044,1.806098428271044,True,False,False
183,2024,Brunei,Bandar Seri Begawan,4.896531631731768,114.91202234302496,0.4033152395961011,True,3,2,0.7550299893281947,-0.8568205574382775,0.8568205574382775,True,False,False
187,2024,New Zealand,Dunedin,-45.8850043050232,170.50683357049058,0.3100157590614603,True,2,1,0.73771315401992,-1.293891753003735,1.293891753003735,True,False,False
190,2024,New Caledonia,Nouméa,-22.24859093339729,166.4583812090531,0.4626160042024164,False,2,3,1.6179527095638455,-0.8209612508768274,0.8209612508768274,True,False,False
206,2024,Jamaica,Mandeville,18.04036573034832,-77.51089377425394,0.2790521216366077,True,362,0,0.685026419641175,-4.522037667156317,4.522037667156317,True,False,False
209,2024,Dominican Republic,San Juan de la Maguana,18.80892589060461,-71.23266621480859,0.3422051012665616,True,0,0,0.6258315228698446,-0.9936758255369598,0.9936758255369598,True,False,False
223,2024,Spain,La Orotava,28.401858183919217,-16.540613895513868,0.367040214790171,True,10,5,1.0240289089572494,-0.9619456737942578,0.9619456737942578,True,False,False
233,2024,Ireland,Cork,51.89080904065316,-8.458721063560953,0.3990252728652308,True,3,1,1.786935649316199,-1.5064129860522857,1.5064129860522857,True,True,False
236,2024,France,Lorient,47.75055844467055,-3.36473497357637,0.4014766824257281,False,3,3,2.003963679121099,-1.5689820788647395,1.5689820788647395,True,True,True
245,2024,Norway,Lagunen,60.30181915200343,5.321083600896147,0.4011848479542403,True,6,5,1.3202109596652825,-1.4903948264531204,1.4903948264531204,True,False,False
255,2024,Equatorial Guinea,Bata,1.8446642731535816,9.786110345784165,0.3951438743944435,False,1,1,0.8189815371041432,-0.8477738441234783,0.8477738441234783,True,False,False
261,2024,Croatia,Zadar,44.11917755129206,15.238614881868624,0.4876262184089184,True,5,3,1.4412484182729954,-1.0049501163242158,1.0049501163242158,True,False,False
269,2024,Finland,Oulu,65.01529370897302,25.47973948824652,0.4226054981614428,True,9,6,1.3429150040315605,-0.8342312108829305,0.8342312108829305,True,False,False
272,2024,Montenegro,Podgorica,42.443303801197885,19.260994447000392,0.4556411603338586,True,8,7,1.5337819245951758,-0.8978776724505546,0.8978776724505546,True,False,False
277,2024,Kosovo,Gjakova,42.38241803305773,20.428379701990263,0.269713418548999,True,3,2,0.6040230054743504,-1.36548390345425,1.36548390345425,True,False,False
278,2024,Russia,Murmansk,68.9598547957542,33.08450703573772,0.3745695441545555,True,4,0,0.7699924537408952,-0.8032599658037486,0.8032599658037486,True,False,False
