model_name,n,r2,need_composite_coef,need_composite_partial_corr,x_columns
need_only,11422,0.1613336137325475,0.40166355788463964,,need_composite_z
legacy_controls,11422,0.285064202367464,0.24022228172909782,0.24814610734718318,need_composite_z|population_density_proxy_z|nearest_airport_km_z|official_station_density_50km_z|coast_distance_km_z|gdp_density_score_z
denominator_false,5733,0.3021671613953707,0.1839127176299959,0.2393331661152392,need_composite_z|population_density_proxy_z|nearest_airport_km_z|official_station_density_50km_z|coast_distance_km_z|gdp_density_score_z
