component_id,country,city_name,need_composite_z,public_support_z,expected_public_support_z,support_residual_z,residual_deficit_q75,available_field_expected_public_support_z,available_field_support_residual_z,available_field_q75_flag
1,Samoa,Apia,-0.5428506548210359,-0.3221499193978948,0.372423018074092,-0.6945729374719869,False,0.3802193058132578,-0.7023692252111526,False
2,Tonga,Nuku'alofa,-0.3488124862407054,-0.227296474980638,-0.0673858308655016,-0.1599106441151364,False,0.20584774222956828,-0.4331442172102063,False
3,United States,Ewa Beach,0.3185412694813042,1.884821328214336,0.3831639275947012,1.5016574006196344,False,0.5129046861450854,1.3719166420692506,False
4,French Polynesia,Papeete,0.3695362691894607,-0.2409772602331269,0.1434366333764156,-0.3844138936095426,False,0.5213000341406565,-0.7622772943737834,False
5,México,Rosarito,0.4353111193782644,1.426384729063075,0.6345091414109705,0.7918755876521044,False,0.42651775083496585,0.9998669782281091,False
6,Canada,Victoria,0.8393612165091828,1.7091861042109544,0.7120995011015236,0.9970866031094308,False,0.9577986854565961,0.7513874187543583,False
7,Guatemala,Malacatán,-1.376036160279931,0.7757005238161241,0.054748149798396,0.720952374017728,False,-0.10891003262745752,0.8846105564435816,False
8,El Salvador,Ahuachapan,-1.01388954586726,0.6665148281819738,-0.1207112517693984,0.7872260799513723,False,-0.1873455877899946,0.8538604159719685,False
9,Honduras,Santa Rosa,-0.195213582106452,0.9409774389854788,0.1960781874666016,0.7448992515188773,False,0.21544256564495484,0.725534873340524,False
10,Nicaragua,Chinandega,0.0612282113903423,-0.0786319419035913,0.3601764470435354,-0.4388083889471267,False,0.2828633163012902,-0.3614952582048815,False
11,Belize,Belize City,-0.0010827316820404,-0.1644951560120698,0.3450010917821064,-0.5094962477941762,False,0.4221178423241987,-0.5866129983362685,False
12,Costa Rica,Liberia,0.7079206897747243,-0.6464496764783237,0.4117576960298446,-1.0582073725081682,True,0.4566796290299533,-1.103129305508277,True
13,Panama,David,0.5063352165167353,-0.2493160245775015,0.3306360018592504,-0.579952026436752,False,0.483309161162492,-0.7326251857399935,False
14,Peru,Talara,-0.2375060805106067,-0.1630619308903808,0.2308139836004303,-0.3938759144908112,False,0.25576828838231774,-0.41883021927269853,False
15,Ecuador,Salinas [Santa Elena],-0.5292137960410281,0.7003259117345539,0.4287234092012538,0.2716025025333001,False,0.14882803528478683,0.5514978764497671,False
16,Colombia,San Andrés,-0.4244401403706856,-0.060260601707392,0.2694047318446594,-0.3296653335520514,False,0.2688313459072996,-0.3290919476146916,False
17,Cuba,Pinar del Rio,0.5541056056004434,-0.14912055925213,0.2819512303376723,-0.4310717895898023,False,0.4275714730906695,-0.5766920323427995,False
18,Jamaica,Montego Bay,0.6662912611672589,1.225863505219451,2.1096450832219613,-0.8837815780025102,True,2.7583487879054087,-1.5324852826859576,True
19,Bahamas,Nassau,1.2969391329078803,-0.4390229134120149,0.5971457890939682,-1.0361687025059831,True,0.7372732930816528,-1.1762962064936677,True
20,Brazil,Cruzeiro do Sul,0.2887465620784686,-0.6150490169940397,0.151450142161381,-0.7664991591554208,False,0.24495325855451672,-0.8600022755485563,False
21,Venezuela,Ureña,0.669213664879367,-0.5127688605825745,0.3105849995521432,-0.8233538601347177,True,0.48712295178720866,-0.9998918123697832,True
22,Haiti,Jérémie,-0.6121434228239511,-1.5151143934149325,0.0893395580841899,-1.604453951499122,False,0.04894397328221298,-1.5640583666971455,False
23,Aruba,Oranjestad,0.7820654251522532,-0.3523779401462518,0.674523782636427,-1.0269017227826789,True,0.6131707030809791,-0.9655486432272309,True
24,Dominican Republic,Santa Cruz de Barahona,0.1845086551691753,0.8756354027557341,0.304820181191317,0.5708152215644171,False,0.39803362927913477,0.4776017734765994,False
25,Chile,Arica,-0.2662582787302954,-0.1535505278100787,0.5812850635815592,-0.7348355913916379,False,0.3437724050036748,-0.4973229328137535,False
26,Curaçao,Willemstad,1.7739218978694886,-0.5699675722572665,0.6451281248692113,-1.2150956971264777,True,0.8130286918181927,-1.3829962640754592,True
27,Bolivia,Cobija,-0.0512765192571425,-0.1698371769201846,0.1697076218869771,-0.3395447988071618,False,0.19323292164009864,-0.36307009856028327,False
28,Puerto Rico,Ponce,0.9017487688594084,1.6932903346794903,0.3889430688880402,1.3043472657914503,False,0.6105208039215058,1.0827695307579845,False
29,Argentina,San Juan,-0.4031637589968823,1.1874921599160415,0.1389824187550837,1.048509741160958,False,0.13509481404697946,1.052397345869062,False
30,Trinidad and Tobago,Port of Spain,0.9875888742304392,0.9984367370459328,0.4397747864022382,0.5586619506436945,False,0.5297760034843513,0.46866073356158156,False
31,Martinique,Fort-de-France,1.2869777107446956,-0.489446379056903,0.18119759478441,-0.670643973841313,False,0.7094400163414075,-1.1988863953983104,True
32,Barbados,Bridgetown,1.8742013551435408,-0.303257406430172,1.5255569727196927,-1.8288143791498648,True,1.8462951944372479,-2.1495526008674197,True
33,Guyana,Georgetown,0.0212000454725292,-0.0876221722123698,0.0615808002389904,-0.1492029724513602,False,0.3826392132776168,-0.4702613854899866,False
34,Suriname,Paramaribo,0.1821137001882647,1.3876876507774631,0.1226255959680336,1.2650620548094291,False,0.46870838994039643,0.9189792608370667,False
35,Paraguay,Concepción,0.0554796028725305,-0.3420847779086648,0.1263933594687472,-0.468478137377412,False,0.1634543745534446,-0.5055391524621095,False
36,Uruguay,Salto,0.746592558124313,-0.4106189973639905,0.5643353846615711,-0.9749543820255616,True,0.4750573349402852,-0.8856763323042757,True
37,French Guiana,Cayenne,0.6401403502708045,-0.6765474040337994,0.4089313488827203,-1.0854787529165195,True,0.5897561443033534,-1.2663035483371528,True
38,Cabo Verde,Mindelo,-0.2289392014745484,-0.5618893942986538,0.1677999340130185,-0.7296893283116723,False,0.20695764801817754,-0.7688470423168313,False
39,Senegal,Dakar,-0.4027729118464176,0.8096419005615849,0.0945426817180053,0.7150992188435796,False,-0.1360131107815823,0.9456550113431672,False
40,Gambia,Serrekunda,0.2822471472481251,-0.5042998030453192,0.3120419109087348,-0.816341713954054,False,0.2784045780541662,-0.7827043810994854,False
41,Mauritania,Nouadhibou,-1.1096106682763762,-0.1547231665460063,0.2056499250850308,-0.3603730916310371,False,0.10050865364394532,-0.2552318201899516,False
42,Spain,Los Cristianos,0.1420623762336541,-0.7139415503906027,0.343534113011112,-1.0574756634017146,False,0.453358172980993,-1.1672997233715958,False
43,Guinea-Bissau,Bissau,0.2372505534344005,-0.1354397739996411,0.3416972892312674,-0.4771370632309085,False,0.29749921149486436,-0.4329389854945055,False
44,Portugal,Funchal,0.7642829724420682,-0.3299675109707456,0.4112856698006936,-0.7412531807714393,True,0.6067190860168368,-0.9366865969875824,True
45,Western Sahara,Dakhla,-0.4089591054669207,-0.1276221824267899,0.5055055482571311,-0.633127730683921,False,0.2357205140912313,-0.3633426965180212,False
46,Guinea,Kamsar,0.3091342951381853,-1.1985019347144736,0.2828565332804234,-1.481358467994897,False,0.4031186974529531,-1.6016206321674267,False
47,Sierra Leone,Freetown,0.1117100310968361,0.4264496202990129,0.2438001700710819,0.182649450227931,False,0.15492342850296614,0.27152619179604676,False
48,Iceland,Reykjavik,1.3020007149792665,-0.1259283709193389,0.664216536146986,-0.7901449070663249,True,0.9771535998237593,-1.103081970743098,True
