variable,n_rows,n_components,components_with_temporal_variation,between_component_share,within_component_share,median_cross_year_correlation,minimum_cross_year_correlation,annual_mean_min,annual_mean_max,annual_sd_min,annual_sd_max
public_hourly_surface_observation_support,114220,11422,11422,0.9861862322145301,0.01381376778546998,0.9848866949652759,0.9728964842663261,0.5000437751707232,0.5000437751707232,0.22366488091447378,0.22448600918727676
public_support_z,114220,11422,11422,0.9861862322145301,0.013813767785469977,0.98488669496528,0.972896484266332,-1.4954282291943648e-16,-1.0975869719897801e-16,0.9985801650194128,1.0022461961048714
need_composite,114220,11422,11422,0.9622114251491926,0.037788574850807485,0.9590001007087667,0.9177923098458665,0.4997241779237365,0.5002852042931466,0.10197803281209558,0.10641855761681178
need_composite_z,114220,11422,11422,0.9622114251491924,0.03778857485080749,0.9590001007087714,0.9177923098458591,-0.0025314100972989805,0.0028418995003507575,0.9767090681224575,1.0192388240354806
demand_proxy_v2,114220,11422,11422,0.9847766954475736,0.015223304552426375,0.992497019457708,0.9334828016969374,0.5000437751707232,0.5000437751707232,0.1378409756623505,0.14949386185090188
weather_hazard_proxy,114220,11422,11422,0.8302599097649819,0.1697400902350182,0.8108391166125631,0.6758960167389698,0.4991653575451777,0.5008484366534081,0.13754262367541703,0.14424120674109978
urban_form_complexity_proxy,114220,11422,0,1.0,1.2595598111492455e-32,1.0,1.0,0.4999634010553086,0.4999634010553086,0.16071166708422333,0.16071166708422333
expected_public_support_z,114220,11422,11422,0.989217066771,0.01078293322899995,0.9960358696484777,0.9529214636419578,-0.0017066126556348179,0.013233965760032761,0.5199893992623478,0.5752248807433512
support_residual_z,114220,11422,11422,0.9721822948384952,0.02781770516150483,0.9717498536559025,0.9352096201923299,-0.013233965760032912,0.001706612655634693,0.8170131822057479,0.8379494041844522
residual_public_observability_deficit,114220,11422,11422,0.9721822948384952,0.02781770516150483,0.9717498536559025,0.9352096201923299,-0.001706612655634693,0.013233965760032912,0.8170131822057479,0.8379494041844522
public_hourly_station_count_50km,114220,11422,0,1.0,0.0,1.0,1.0,2.6821047102083697,2.6821047102083697,3.833190255581417,3.833190255581417
official_station_count_50km,114220,11422,0,1.0,0.0,1.0,1.0,3.679828401330765,3.679828401330765,13.223656253441778,13.223656253441778
denominator_uncertainty_flag,114220,11422,0,1.0,0.0,1.0,1.0,0.4980738924881807,0.4980738924881807,0.5000181789563433,0.5000181789563433
