iteration,null_mean_contrast_mm
0,0.1954483333333333
1,0.2058138245614035
2,-0.07464912280701752
3,0.33135476315789475
4,0.15948829824561403
5,0.014288482456140356
6,0.10146199122807016
7,-0.013450280701754387
8,-0.09584308771929825
9,0.23487815789473682
10,-0.21110136842105262
11,-0.06519980701754385
12,-0.02546293859649125
13,0.0806871140350877
14,0.19213451754385963
15,-0.03237816666666664
16,-0.19807016666666663
17,-0.08207114912280702
18,-0.07901559649122805
19,-0.2194492894736842
20,-0.024960999999999987
21,0.08932748245614035
22,-0.13205163157894736
23,-0.09220268421052631
24,-0.09848444736842106
25,-0.06927874561403508
26,-0.1764035
27,-0.03854287719298246
28,-0.17686646491228072
29,0.29548732456140353
30,-0.1539425087719298
31,-0.0027875438596491183
32,0.138357701754386
33,-0.04248536842105265
34,-0.07025341228070174
35,-0.2079775701754386
36,-0.14450292982456142
37,-0.0016861491228070211
38,0.09027286842105262
39,0.10592102631578948
40,-0.16025341228070172
41,-0.07602338596491225
42,-0.015813824561403508
43,0.025531210526315826
44,0.2856237894736842
45,-0.014249535087719289
46,-0.1323879210526316
47,0.06288010526315789
48,-0.0641861403508772
49,0.06350875438596489
50,-0.20140350877192983
51,-0.0910087894736842
52,-0.01597951754385965
53,-0.03279238596491227
54,-0.05930798245614036
55,0.1528703596491228
56,-0.17765595614035085
57,-0.06480019298245611
58,-0.11460040350877192
59,-0.013508789473684198
60,-0.14222221929824558
61,0.24389864035087722
62,0.009434728070175466
63,-0.059473710526315754
64,-0.14073098245614035
65,0.09534112280701752
66,0.020867447368421062
67,0.00500488596491229
68,-0.1701949210526316
69,-0.04661792982456139
70,-0.025540964912280684
71,0.07408383333333333
72,0.056310912280701765
73,-0.06366959649122805
74,0.1013206754385965
75,-0.15385474561403512
76,-0.07357212280701755
77,-0.15615497368421055
78,-0.32607699122807016
79,-0.18891812280701756
80,-0.2061111052631579
81,-0.12418617543859649
82,0.0521686052631579
83,-0.032080877192982464
84,-0.030750473684210508
85,0.03956626315789473
86,-0.07221249122807018
87,0.14541425438596492
88,-0.05733430701754388
89,0.034678377192982446
90,0.4154239561403508
91,-0.062319684210526305
92,0.23739277192982455
93,0.13442980701754387
94,-0.0032748508771929838
95,-0.18643762280701753
96,0.0356530350877193
97,0.2072807105263158
98,-0.22388400877192977
99,-0.14390839473684208
100,0.31090154385964913
101,-0.036267078947368456
102,0.10069200877192984
103,0.042602359649122824
104,0.16076025438596492
105,-0.04721732456140351
106,-0.04392297368421052
107,-0.06458088596491227
108,-0.005765087719298245
109,0.04391812280701755
110,-0.14461986842105265
111,-0.19783623684210525
112,-0.10540449122807016
113,0.04160331578947369
114,0.05201750877192984
115,-0.04209551754385964
116,-0.19854774561403507
117,0.01303607017543859
118,-0.10541421929824563
119,-0.02684208771929821
120,-0.09619394736842106
121,0.14708576315789473
122,0.08315301754385965
123,-0.20634502631578946
124,-0.14898635087719297
125,-0.2133723157894737
126,-0.05415691228070174
127,-0.14309455263157894
128,0.02207600000000001
129,-0.04304090350877193
130,0.021949298245614025
